,coref_local,coref_global,n_constituents,n_noun_phrases,n_verb_phrases,n_sub_clauses,n_prep_phrases,mean_np_length,mean_vp_length
82,1.0,1.0,126.0,56.0,47.0,8.0,15.0,2.8214285714285716,7.617021276595745
83,0.6153846153846154,0.4175824175824176,118.0,55.0,43.0,11.0,9.0,1.4,4.790697674418604
84,0.2982456140350877,0.20871143375680581,384.0,195.0,126.0,19.0,44.0,3.3897435897435897,6.761904761904762
85,0.038461538461538464,0.012336719883889695,86.0,41.0,37.0,3.0,5.0,1.7317073170731707,3.5675675675675675
86,0.3333333333333333,0.3888888888888889,389.0,193.0,130.0,34.0,32.0,2.7305699481865284,7.553846153846154
87,0.8571428571428571,0.9142857142857143,206.0,98.0,70.0,16.0,22.0,2.5714285714285716,6.514285714285714
88,0.17105263157894737,0.14524948735475052,550.0,290.0,165.0,27.0,68.0,2.731034482758621,9.048484848484849
89,0.14634146341463414,0.13704994192799072,289.0,137.0,100.0,14.0,38.0,2.7445255474452557,6.61
90,0.6538461538461539,0.6495726495726496,370.0,202.0,91.0,21.0,56.0,4.683168316831683,12.296703296703297
91,0.35294117647058826,0.3137254901960784,115.0,62.0,29.0,5.0,19.0,2.0483870967741935,6.172413793103448
92,0.10810810810810811,0.0953058321479374,151.0,89.0,46.0,5.0,11.0,3.0112359550561796,4.239130434782608
93,0.3225806451612903,0.24193548387096775,286.0,146.0,83.0,13.0,44.0,2.643835616438356,5.144578313253012
94,0.04878048780487805,0.09407665505226481,153.0,78.0,47.0,12.0,16.0,2.8974358974358974,6.468085106382978
95,0.5454545454545454,0.44206773618538325,482.0,251.0,129.0,13.0,89.0,4.223107569721115,12.015503875968992
96,0.3793103448275862,0.22528735632183908,162.0,68.0,74.0,11.0,9.0,1.5588235294117647,4.675675675675675
97,0.3076923076923077,0.23076923076923078,132.0,71.0,33.0,6.0,22.0,3.6056338028169015,9.272727272727273
98,0.5454545454545454,0.5151515151515151,171.0,80.0,60.0,17.0,14.0,2.575,5.666666666666667
99,0.13793103448275862,0.11724137931034483,142.0,74.0,46.0,5.0,17.0,2.972972972972973,6.043478260869565
100,0.7058823529411765,0.4117647058823529,177.0,81.0,70.0,12.0,14.0,2.246913580246914,5.671428571428572
101,0.21428571428571427,0.1354679802955665,153.0,74.0,51.0,8.0,20.0,2.189189189189189,6.352941176470588
102,0.47058823529411764,0.39215686274509803,188.0,88.0,65.0,9.0,26.0,2.659090909090909,7.584615384615384
103,0.4,0.35,168.0,74.0,63.0,13.0,18.0,3.3513513513513513,8.53968253968254
104,0.09090909090909091,0.1225296442687747,126.0,63.0,40.0,4.0,19.0,2.507936507936508,6.475
105,0.42857142857142855,0.37142857142857144,171.0,77.0,57.0,13.0,24.0,2.8051948051948052,7.701754385964913
106,0.25,0.25666666666666665,151.0,72.0,51.0,9.0,19.0,2.3333333333333335,7.529411764705882
107,0.4,0.24166666666666667,183.0,78.0,67.0,19.0,19.0,2.8846153846153846,7.567164179104478
108,0.11764705882352941,0.07394957983193277,126.0,59.0,53.0,1.0,13.0,2.457627118644068,7.9245283018867925
109,0.65,0.6095238095238096,147.0,64.0,65.0,10.0,8.0,1.9375,4.969230769230769
110,0.3181818181818182,0.1857707509881423,112.0,55.0,37.0,1.0,19.0,2.090909090909091,6.1891891891891895
111,0.42857142857142855,0.3523809523809524,169.0,72.0,71.0,10.0,16.0,2.0555555555555554,6.450704225352113
112,0.21052631578947367,0.1,140.0,71.0,42.0,7.0,20.0,2.5492957746478875,5.9523809523809526
113,0.2857142857142857,0.22857142857142856,134.0,60.0,56.0,2.0,16.0,2.2333333333333334,5.821428571428571
114,0.08823529411764706,0.09915966386554621,141.0,73.0,44.0,2.0,22.0,1.9863013698630136,5.7272727272727275
115,0.26666666666666666,0.2,150.0,70.0,46.0,8.0,26.0,3.3857142857142857,7.521739130434782
116,0.2857142857142857,0.23809523809523808,198.0,91.0,65.0,16.0,26.0,2.901098901098901,10.353846153846154
117,0.6190476190476191,0.5238095238095238,180.0,86.0,67.0,15.0,12.0,1.7906976744186047,7.08955223880597
118,0.15384615384615385,0.2706552706552707,166.0,80.0,54.0,15.0,17.0,1.6375,6.166666666666667
119,0.24242424242424243,0.12477718360071301,126.0,66.0,42.0,6.0,12.0,1.8181818181818181,5.0476190476190474
120,0.6,0.5969230769230769,150.0,64.0,68.0,7.0,11.0,1.625,5.514705882352941
121,0.08333333333333333,0.14,127.0,72.0,37.0,2.0,16.0,2.0694444444444446,5.72972972972973
122,0.4375,0.25735294117647056,148.0,66.0,53.0,8.0,21.0,2.5,8.18867924528302
123,0.4375,0.18382352941176472,156.0,65.0,69.0,12.0,10.0,3.0615384615384613,8.391304347826088
124,0.6,0.48307692307692307,135.0,62.0,52.0,3.0,18.0,2.129032258064516,5.019230769230769
125,0.29411764705882354,0.3006535947712418,158.0,72.0,58.0,10.0,18.0,2.4722222222222223,8.46551724137931
126,0.4166666666666667,0.4230769230769231,171.0,78.0,57.0,14.0,22.0,3.128205128205128,10.052631578947368
